"sampleID","fastq_R1","fastq_R2","SRR_ID"
"SRR11863222","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863222_1.fastq.gz",,"SRR11863222"
"SRR11863223","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863223_1.fastq.gz",,"SRR11863223"
"SRR11863224","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863224_1.fastq.gz",,"SRR11863224"
"SRR11863225","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863225_1.fastq.gz",,"SRR11863225"
"SRR11863226","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863226_1.fastq.gz",,"SRR11863226"
"SRR11863227","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863227_1.fastq.gz",,"SRR11863227"
"SRR11863228","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863228_1.fastq.gz",,"SRR11863228"
"SRR11863229","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863229_1.fastq.gz",,"SRR11863229"
"SRR11863230","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863230_1.fastq.gz",,"SRR11863230"
"SRR11863231","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863231_1.fastq.gz",,"SRR11863231"
"SRR11863232","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863232_1.fastq.gz",,"SRR11863232"
"SRR11863233","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863233_1.fastq.gz",,"SRR11863233"
"SRR11863234","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863234_1.fastq.gz",,"SRR11863234"
"SRR11863235","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863235_1.fastq.gz",,"SRR11863235"
"SRR11863236","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863236_1.fastq.gz",,"SRR11863236"
"SRR11863237","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863237_1.fastq.gz",,"SRR11863237"
"SRR11863238","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863238_1.fastq.gz",,"SRR11863238"
"SRR11863239","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863239_1.fastq.gz",,"SRR11863239"
"SRR11863240","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863240_1.fastq.gz",,"SRR11863240"
"SRR11863241","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863241_1.fastq.gz",,"SRR11863241"
"SRR11863242","/workdir/dwm269/totalRNA/data/fastq/Isakova_SST/SRR11863242_1.fastq.gz",,"SRR11863242"
